Código;Código alternativo;Nombre;Marca
;;;
35410082;;_ 8.00 MM PCIOX M ROLLO   PP TRENZADA MULTIFILA    M.T/SEDA;MILWAUKEE
49111515;18060087;(CORTE) CONDUCTOR ENVAINADO TPR 4X 2.50MM NEG;LOCTITE
94211154;MDF00077;#41JA16 - CHAIN SPROCKET 250/28;MCELROY
94211128;MDL00283;1.00 LOW FRICTION WEAR RING (MDL00283);MCELROY
94211127;MDL00280;1.00 LOW FRICTION WIPER (MDL00280);MCELROY
94211129;MDL00298;"1"" ROD SEAL (MDL00298)";MCELROY
70010672;AR-1000/2;"1/2 ACOPLE DE CAMBIO RAPIDO (M & H)                (LADO CILINDRO DT 3/8"" BSP)";SACAPOL
75026042;REH 10N46;10N46 BUSA CERÁMICA TORCHAS TIG WPM 17,18,26;
75026043;REH 10N47;10N47 BUSA CERÁMICA TORCHAS TIG WPM 17,18,26;
22013092;;125 - 150;STARRETT
90036001;1203101;12IPS/DIPS MASTER INSERT;MCELROY
80036505;W-HSR;12V/24V SIRENA CON ESTROBO 2W, 8 CD, PARED, ROJO;BOSCH
75025545;;156M SCREW PITCH GAGE;STARRET
45160443;175.32-191940;175.32-191940-25 4325 INSERTO;SANDVIK
94211155;MDH00019;1B, JA, QD HUB 250/28;MCELROY
94211158;MKI00003;1X3/16 316SS 100OHM PLAT RTD SENSOR 28/250/412/618;MCELROY
90036002;1207010;225MM INSERT SET;MCELROY
94211139;1219002;240V, 1Ph, 15A Cord - 618;MCELROY
75025546;;269 MATAPER GAGE;STARRET
95874514;870764056;28/56 RUEDA CORTA CAÑO 29 / 30;GAMMA
90036006;MEB00153;2B X 3S X 5/8R CLAMP CYLINDER;MCELROY
90007924;;2DA.REPARACION CENTRALES SGL2000-ESL1500           CAMBIO  DE COMPONENTES EN MAL ESTADO ,;GW
70104183;AR110;3 BANDAS AUTOADHESIVAS REFLECTIVAS                 PARA CONO DE 110 CM (84 CM);BM
90025812;;33% MANIQUI  RESCUE RANDY CON CUERPO GRANDE;
90025813;;34% MANIQUI  RESCUE RANDY CON CUERPO GRANDE;
94211163;T5070901;"4"" - 20"" PIPE STAND - 618";MCELROY
90036003;1284501;412 220-240,50/60,1 HEATER;MCELROY
75025547;;475 SCREW PITCH GAGE;STARRET
94211159;MLQ00051;5 AMP FUSE - 824/630/1236;MCELROY
90010106;;50 MTS C/TOMA MULT;
51670202;519-551D;519-551D MU CHEQUER;MITUTOYO
75025548;;579A TELESCOPING GAGE;STARRET
90025212;ENAHC7206;"6' HOSE W/ CH-604 3/8"" NP  (HC7206)";ENERPAC
94211160;MLQ00062;60 AMP FUSE - 824/1236;MCELROY
90005134;60.0600.16;60.0600.16 CARTUCHO;SACAPOL
90005137;60.1200.16;60.1200.16 CARTUCHO;SACAPOL
500001;6013;6013 CARTEL FOTOLUMINIS.SALIDA DE EMERGENCIA C/    FLECHA;
500002;6014;6014 CARTEL FOTOLUM.SALIDA DE EMERGENCIA C/FLEC    HA IZQ.;
75025549;;66MA METRIC THICKNESS GAGE;STARRET
70016841;26150684AA;684 KIT DE LIMPIEZA Y PULIDO;DREMEL
70103907;7234005;7.7 MM RIVET (100 PACK);DBI SALA / 3M
75027485;720182-1;"70FT/MIN;FLYWHEEL REPL;KIT NA";
94211134;1207104;"8"" IPS (219 MM) - 618";MCELROY
90901620;;8x100mm BITS SEC. CUADRAD;STRONGER
90022955;10202936;"A-5k-SENS-01-0-F-1-0  BODY CSA, ¾"" NPT -SIN SENSOR";MSA
14143637;23637;A.R.1.5/4MM L50 1.2 D/D   HOJAS P/SIERRA CALADO    RA;METABO
90023275;;ABANICOS LIJADORES 25 X 20 X 6,4 MM GRANO 80;WAVE ABRASIVOS
90023276;;ABANICOS LIJADORES 35 X 20 X 6 MM  GRANO 80;WAVE ABRASIVOS
99887133;;ABATELENGUAS DE MADERA;
90025782;TBW.0021;ABI-GEL DECAPANTE;
90025783;TBW.0383;ABI-GEL PASIVANTE;
75010440;;ABONO MENSUAL DE EQUIPO DE LOCALIZACION GPS 1/12   (MCC-MSG  DURACION 12 MESES);
57254037;010310;ABRAZADERA  06- 12 MM  A CREMALLERA;TR
57253309;0103309;ABRAZADERA  52 - 76 MM  A CREMALLERA;TR
96508178;ERF1210;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  100-120MM (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
96508174;ERF60;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  12-22MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
57257025;057025;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  140-160 M;PERFECTO
16274500;ERF61;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  16-27MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
70005045;057027;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  160-180 M;PERFECTO
90015517;ERF1921;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  190-210MM (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
23354500;ERF63;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  23-35MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
79001215;ERF64;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  30-45MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
96508175;ERF65;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  32-50MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
75005388;ERF67;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  50-70MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
75006080;ERF68;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  60-80MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
75002616;ERF69;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  70-90MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
96508177;ERF8010;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  80-100MM  (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
75002614;ERF1911;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  90-110MM  (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
90003189;ERF1222;ABRAZADERA  DE ACERO INOX. ANCHO 9 MM.  12-22MM    (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
90015515;ERF1240;ABRAZADERA  DE ACERO INOX. ANCHO 9 MM.  120-140 MM (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
90025190;ERF1460;ABRAZADERA  DE ACERO INOX. ANCHO 9 MM.  140-160 MM (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
90014695;ERF2335;ABRAZADERA  DE ACERO INOX. ANCHO 9 MM.  23-35MM    (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
96508170;ERF3045;ABRAZADERA  DE ACERO INOX. ANCHO 9 MM.  30-45MM    (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
99000052;ERF4060;ABRAZADERA  DE ACERO INOX. ANCHO 9 MM.  40-60MM    (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
96508171;ERF5070;ABRAZADERA  DE ACERO INOX. ANCHO 9 MM.  50-70MM    (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
75004417;ERF6080;ABRAZADERA  DE ACERO INOX. ANCHO 9 MM.  60-80MM    (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
96508169;ERF816;ABRAZADERA  DE ACERO INOX. ANCHO 9 MM.  8-16MM     (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
96508173;ERF9011;ABRAZADERA  DE ACERO INOX. ANCHO 9 MM.  90-110MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
57257002;002102;ABRAZADERA A CREMALLERA 15 - 20 MM                 (FLEJE 12.7 X 0,8 MM) TIPO AMERICANO ART. 0;CARBIZ
23354501;;ABRAZADERA A CREMALLERA 16-27MM;PERFECTO
70006119;002103;ABRAZADERA A CREMALLERA 20 - 25 MM                 (FLEJE 12.7 X 0,8 MM) TIPO AMERICANO ART. 1;CARBIZ
57257004;002104;ABRAZADERA A CREMALLERA 25 - 30 MM                 (FLEJE 12.7 X 0,8 MM) TIPO AMERICANO ART. 2;CARBIZ
90003002;002106;ABRAZADERA A CREMALLERA 35 - 40 MM                 (FLEJE 12.7 X 0,8 MM) TIPO AMERICANO ART. 4;CARBIZ
75015688;002111;ABRAZADERA A CREMALLERA 60 - 75 MM                 (FLEJE 12.7 X 0,8 MM) TIPO AMERICANO ART. 9;CARBIZ
57260012;;"ABRAZADERA A CREMALLERA GALV.  Ø 3/8""";
70008184;705-42;ABRAZADERA A CREMALLERA MODELO 705-42;MONTEFIORE
75020307;ASTM B-117;"ABRAZADERA A DOS BANDAS 88/104  ESP. 10MM INOX.    - ABRAZADERA DE REPARACION 3"" AISI 304";SEMATRYN
75013283;ASTM B-117;"ABRAZADERA A DOS BANDAS ESP. 10MM INOX. AISI 304   - ABRAZADERA DE REPARACION 6""";SEMATRYN
75020309;ASTM B-117;"ABRAZADERA A DOS BANDAS ESP. 10MM INOX. AISI 304 - - ABRAZADERA DE REPARACION 2""";SEMATRYN
75020200;;"ABRAZADERA A DOS BANDAS ESP. 10MM INOX. AISI 304 - ABRAZADERA DE REPARACION 4""";SEMATRYN
75024170;;"ABRAZADERA A MORDAZA DESLIZANTE 1"" (32-42MM)";IND ARG
75020592;;"ABRAZADERA A MORDAZA DESLIZANTE 3""  (85-100MM)";IND ARG
98565061;;ABRAZADERA A PRESION REFORZADA CON RESORTE 62-70;
98565060;;ABRAZADERA A PRESION REFORZADA CON RESORTE 68-76;
75012957;;ABRAZADERA ACERO INOX 100-120 MM -FLEJE 9 MM;
75012958;;ABRAZADERA ACERO INOX 70-90 MM-FLEJE 9 MM;
98562830;;ABRAZADERA ACERO INOX A CREMALLERA 1 PULGADA;
70010221;002221;ABRAZADERA ACERO INOXIDABLE 8-22 MM                (FLEJE 8 MM, ANTI MAGNETICA) ART. 6266;CARBIZ
75011188;AP10;ABRAZADERA ALTA PRESION 40-37MM;
75011189;AP14;ABRAZADERA ALTA PRESION 55-51MM;
56150559;;ABRAZADERA AMERICANO Nº0 (9 A 20MM);
56150567;;ABRAZADERA AMERICANO Nº4 (21 A 42MM);
79000816;;ABRAZADERA CIERRE RAPIDO -TORNILLO TUERCA FLEJE    8-16 MM;PERFECTO
79001113;ERF1030;ABRAZADERA CIERRE RAPIDO 12 MM    110-130 MM;PERFECTO
79001214;ERF2545;ABRAZADERA CIERRE RAPIDO 12 MM    125-145 MM;PERFECTO
79005872;ERF5872;ABRAZADERA CIERRE RAPIDO 12 MM    58-72 MM;PERFECTO
79006785;ERF6785;ABRAZADERA CIERRE RAPIDO 12 MM    67-85 MM;PERFECTO
79008010;ERF8100;ABRAZADERA CIERRE RAPIDO 12 MM    80-100 MM;PERFECTO
79009511;ERF9515;ABRAZADERA CIERRE RAPIDO 12 MM    95-115 MM;PERFECTO
79001020;ERF1020;ABRAZADERA CIERRE RAPIDO 12 MM   10-20 MM;PERFECTO
79001728;ERF1728;ABRAZADERA CIERRE RAPIDO 12 MM   17-28 MM;PERFECTO
79002535;ERF2535;ABRAZADERA CIERRE RAPIDO 12 MM   25-35 MM;PERFECTO
79003244;ERF3244;ABRAZADERA CIERRE RAPIDO 12 MM   32-44 MM;PERFECTO
79004052;ERF4052;ABRAZADERA CIERRE RAPIDO 12 MM   40-52 MM INOX.;PERFECTO
79004862;ERF4862;ABRAZADERA CIERRE RAPIDO 12 MM   48-62 MM;PERFECTO
98564671;;ABRAZADERA CREMALLERA INOX. 304  16-27 FLEJE 12 MM;PERFECTO
98564672;;ABRAZADERA CREMALLERA INOX. 304  30-45 FLEJE 12 MM;PERFECTO
98564661;;ABRAZADERA CREMALLERA INOX. 304  60-80 FLEJE 12 MM;PERFECTO
96532129;INOX-23-27;ABRAZADERA DE A.INOXIDABLE 23-27;
96508179;ERF1213;ABRAZADERA DE ACERO INOX. ANCHO 12 MM.  110-130MM  (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
96508190;;ABRAZADERA DE ACERO INOX. ANCHO 12 MM.  130-150MM;PERFECTO
99999540;ERF66;ABRAZADERA DE ACERO INOX. ANCHO 12 MM.  40-60MM    (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
98565023;A0255;ABRAZADERA DE ACERO INOX. ANCHO 7 MM.  10-16MM;PERFECTO
98565030;;ABRAZADERA DE ACERO INOX. ANCHO 7 MM.  10-16MM;
98565031;;ABRAZADERA DE ACERO INOX. ANCHO 7 MM.  8-12MM;
75000595;ERF1627;ABRAZADERA DE ACERO INOX. ANCHO 9 MM. 16-27MM      (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
99993250;ERF3250;ABRAZADERA DE ACERO INOX. ANCHO 9MM  32-50 MM      (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
90026105;CODIGO N° 18;ABRAZADERA DE ALAMBRE RANGO 19-25 MM;DAMAT
79909201;;ABRAZADERA DE DOBLE ALAMBRE 24 - 19,50MM;
75022355;;"ABRAZADERA DE REPARACION 2.1/2"" UNA BANDAS";SEMATRYN
75024391;488;"ABRAZADERA DE REPARACION 20""";SEMATRYN
98564523;;"ABRAZADERA GALV. A CREMALLERA  35-51 MM            (1.1/16""- 2"") FLEJE 12MM - PRECIO X UNIDAD";
98564525;;ABRAZADERA GALV. A CREMALLERA 32/50 MM, FLEJE 12MM . PRECIO X UNID.;
80011578;;"ABRAZADERA MEDIA OMEGA DE 3/4"" P/INST. ELECTRICA";
59293451;610345;ABRAZADERA METALICA CRM 1  (PRECIO X UNIDAD);FISCHER
59293252;610310;ABRAZADERA METALICA CRM 1/4  (PRECIO X UNIDAD);FISCHER
59293351;610335;ABRAZADERA METALICA CRM 3/4  (PRECIO X UNIDAD);FISCHER
59293201;610320;ABRAZADERA METALICA CRM 3/8  (PRECIO X UNIDAD);FISCHER
59293401;610340;ABRAZADERA METALICA CRM 7/8  (PRECIO X UNIDAD);FISCHER
75025064;B789C-789C-0049;ABRAZADERA MORDAZA DELIZABLE 41.2 A 49 MM;POBERAJ
75026435;B789N-789N-0076;ABRAZADERA MORDAZA DESLIZANTE DIAM:MIN. 60 MM MAX. (PRECIO X UNIDAD);POBERAJ
80013000;SM24-010A;ABRAZADERA P/MANGUERA DUP. 8 A 16MM (X 8 UNID.)    (A CREMALLERA DE ACERO INOX.);LIGA
57254004;057007;ABRAZADERA PARA MANGUERA   40- 50 MM N 5;CARBIZ
99999999;012A;ABRAZADERA PARA MANGUERA  10- 12 MM012A;EL TALA
99999367;3001.5;ABRAZADERA PARA MANGUERA  20- 28 MM T/A;EL TALA
57254016;;ABRAZADERA PARA MANGUERA  21- 38 MM;TR
99999360;3005.5;ABRAZADERA PARA MANGUERA  50- 76 MM                A CREMALLERA;EL TALA
99000131;;ABRAZADERA PARA MANGUERA  91-114 MM;ESSAMET
57257020;002116;ABRAZADERA PARA MANGUERA 100-115 MM N° 14          - FLEJE 12.7 X 0.8MM -  A CREMALLERA T/AMERICANO;CARBIZ
57254019;3012;ABRAZADERA PARA MANGUERA 130-145 MM T/AMERICANA;EL TALA
57258125;COMPACTA II;ABRAZADERA PARA MANGUERA 14-16.5MM-COMPACTA II;EL TALA
99992005;3002;ABRAZADERA PARA MANGUERA 25- 35 MM T/A;EL TALA
99994002;;ABRAZADERA PARA MANGUERA 27- 51 MM;ESSAMET
57257008;057008;ABRAZADERA PARA MANGUERA 40- 55 MM N 6;CARBIZ
57254010;;ABRAZADERA PARA MANGUERA 52- 76 MM;ESSAMET
70004645;057080;ABRAZADERA PARA MANGUERA 60- 75 MM N 9;CARBIZ
57253007;3007;ABRAZADERA PARA MANGUERA 70- 85 MM T/A;EL TALA
99999178;;ABRAZADERA PARA MANGUERA 80-100 MM  12MM;ESSAMET
57256262;57080;ABRAZADERA PARA MANGUERA A.I.6262 6 A 16MM         - ACERO INOX.;CARBIZ
56150568;;ABRAZADERA REFORZADA (150 A 162MM) AI;
56150555;;ABRAZADERA REFORZADA (97 A 104MM) AI;
75023972;;"ABRAZADERA REPARACION 16"" RANGO 403/434 LARGO-950";SEMATRYN
75014174;;ABRAZADERA S.PRESION 20 MM  104-112 MM -;PERFECTO
75027254;;ABRAZADERA SIMPLEX 12-14 REP JACTO;JACTO
75012959;;ABRAZADERA SUPER PRESION 115 -130 MM;PERFECTO
56150205;ERF9101;ABRAZADERA SUPER PRESION 15 MM  23-28 MM;PERFECTO
70100902;ERF9102;ABRAZADERA SUPER PRESION 15 mm  26-32 MM;PERFECTO
56150206;ERF9103;ABRAZADERA SUPER PRESION 15 MM  30-36 MM;PERFECTO
70000083;ERF9104;ABRAZADERA SUPER PRESION 20 MM  34-40 MM;PERFECTO
70000084;ERF9105;ABRAZADERA SUPER PRESION 20 MM  38-44 MM;PERFECTO
56150207;ERF9106;ABRAZADERA SUPER PRESION 20 MM  42-48 MM;PERFECTO
56150208;ERF9107;ABRAZADERA SUPER PRESION 20 MM  46-52 MM;PERFECTO
56150209;ERF9108;ABRAZADERA SUPER PRESION 20 MM  50-58 MM;PERFECTO
56150210;ERF9109;ABRAZADERA SUPER PRESION 20 MM  56-64 MM;PERFECTO
56150211;56150211;ABRAZADERA SUPER PRESION 20 MM  62-70 MM;PERFECTO
79008011;ERF9111;ABRAZADERA SUPER PRESION 20 MM  68-76 MM;PERFECTO
56150255;ERF9112;ABRAZADERA SUPER PRESION 20 MM  74-82 MM;PERFECTO
56150540;ERF9114;ABRAZADERA SUPER PRESION 20 MM  86-94 MM;PERFECTO
79008012;A2021;ABRAZADERA SUPER PRESION 20 MM  RANGO 128-136 MM   (DIN 3017, ACERO INOX. AISI 304);PERFECTO
79008013;A2203;ABRAZADERA SUPER PRESION 24 MM  RANGO 125-140 MM   (DIN 3017, ACERO INOX. AISI 304);PERFECTO
85001229;ERF9126;ABRAZADERA SUPER PRESION C/RESORTE 20 MM 50-58MM;PERFECTO
85001230;ERF9127;ABRAZADERA SUPER PRESION C/RESORTE 20 MM 56-64MM;PERFECTO
85001231;ERF9128;ABRAZADERA SUPER PRESION C/RESORTE 20 MM 62-70MM;PERFECTO
85001232;ERF9129;ABRAZADERA SUPER PRESION C/RESORTE 20 MM 68-76MM;PERFECTO
85001233;ERF9130;ABRAZADERA SUPER PRESION C/RESORTE 20 MM 74-82MM;PERFECTO
85001234;ERF9131;ABRAZADERA SUPER PRESION C/RESORTE 20 MM 80-88MM;PERFECTO
85001235;ERF9132;ABRAZADERA SUPER PRESION C/RESORTE 20 MM 86-94MM;PERFECTO
85001236;ERF9133;ABRAZADERA SUPER PRESION C/RESORTE 20 MM 92-100MM;PERFECTO
85001237;ERF9134;ABRAZADERA SUPER PRESION C/RESORTE 20 MM 98-106MM;PERFECTO
70103807;A2414;ABRAZADERA SUPER PRESION CON RESORTE 110-118 MM    (ANCHO DE BANDA 20MM) ACERO INOXIDABLE, AISI 304;PERFECTO
70103802;A2009;ABRAZADERA SUPER PRESION CON RESORTE 80-88 MM      (ANCHO DE BANDA 20MM) ACERO INOXIDABLE, AISI 304;PERFECTO
75026643;ERF9141;ABRAZADERA SUPER PRESION REFORZ. 24 MM  105-120MM;PERFECTO
85001226;ERF9142;ABRAZADERA SUPER PRESION REFORZ. 24 MM 115-130MM;PERFECTO
85001227;ERF9143;ABRAZADERA SUPER PRESION REFORZ. 24 MM 125-140MM;PERFECTO
85001228;ERF9144;ABRAZADERA SUPER PRESION REFORZ. 24 MM 135-150MM;PERFECTO
75024465;ERF9146;ABRAZADERA SUPER PRESION REFORZ. 24 MM 155-170MM;PERFECTO
75024019;ERF9147;ABRAZADERA SUPER PRESION REFORZ. 24 MM 165-180MM;PERFECTO
75024020;ERF9148;ABRAZADERA SUPER PRESION REFORZ. 24 MM 175-190MM;PERFECTO
70000038;ERF9145                            ;ABRAZADERA SUPER PRESION REFORZ. 24MM 145-160MM             ;PERFECTO
75024223;B774 -774-0016;"ABRAZADERA TIPO BOSS C/BULONES 1""";POBERAJ
75008802;002174;ABRAZADERA TIPO SUPER PRESION DE 100 A 111MM(S113) - FLEJE DE 22 X 2MM;CARBIZ
75008803;002175;ABRAZADERA TIPO SUPER PRESION DE 108 A 119MM(S114) - FLEJE DE 22 X 2MM;CARBIZ
75008804;002176;ABRAZADERA TIPO SUPER PRESION DE 116 A 128MM(S115) - FLEJE DE 22 X 2MM;CARBIZ
75008805;002177;ABRAZADERA TIPO SUPER PRESION DE 125 A 136MM(S116) - FLEJE DE 22 X 2MM;CARBIZ
75008806;002178;ABRAZADERA TIPO SUPER PRESION DE 135 A 145MM(S117) - FLEJE DE 22 X 2MM;CARBIZ
75008807;002179;ABRAZADERA TIPO SUPER PRESION DE 143 A 153MM(S118) - FLEJE DE 22 X 2MM;CARBIZ
75008808;002180;ABRAZADERA TIPO SUPER PRESION DE 151 A 161MM(S119) - FLEJE DE 22 X 2MM;CARBIZ
75008809;002181;ABRAZADERA TIPO SUPER PRESION DE 159 A 169MM(S120) - FLEJE DE 22 X 2MM;CARBIZ
75008810;002182;ABRAZADERA TIPO SUPER PRESION DE 167 A 177MM(S121) - FLEJE DE 22 X 2MM;CARBIZ
75008811;002183;ABRAZADERA TIPO SUPER PRESION DE 175 A 185MM(S122) - FLEJE DE 22 X 2MM;CARBIZ
75005167;002187;ABRAZADERA TIPO SUPER PRESION DE 25 A 30 MM (S101) - FLEJE DE 16 X 1.5MM;CARBIZ
75003197;S-103;ABRAZADERA TIPO SUPER PRESION DE 33 A 39 MM (S103) - FLEJE DE 16 X 1.5MM;CARBIZ
75008796;002184;ABRAZADERA TIPO SUPER PRESION DE 37 A 46 MM (S104) - FLEJE DE 22 X 2MM;CARBIZ
75003199;002167;ABRAZADERA TIPO SUPER PRESION DE 55 A 64 MM (S107) - FLEJE DE 22 X 2MM;CARBIZ
75008798;002168;ABRAZADERA TIPO SUPER PRESION DE 61 A 71 MM (S108) - FLEJE DE 22 X 2MM;CARBIZ
75003200;002172;ABRAZADERA TIPO SUPER PRESION DE 85 A 95 MM (S111) - FLEJE DE 22 X 2MM;PERFECTO
75008801;002173;ABRAZADERA TIPO SUPER PRESION DE 93 A 103MM (S112) - FLEJE DE 22 X 2MM;CARBIZ
90012867;B3S;"ABRAZADERA U-BOLT 2"" CON ARAND Y TCA SERIE PESADA  -ZINCADA";ITECO
75008812;B3S;"ABRAZADERA U-BOLT 3/4"" CON ARANDELA Y TUERCA";ITECO
90023535;B3S 30AAD;"ABRAZADERA U-BOLT STANDARD (B3S) PRECIO X UNIDAD   Ø VARILLA 1/4"",  Ø EXT 33,4 MM, Ø NOM 1""";ITECO
56150550;062814;"ABRAZADERA UBOLT P/CAÑO 1.1/2"" ROSCA 1/4W SIN";
90024349;A829101;"ABRAZADERA;LARGO,4 IN,PERILLA CONJUNTO             LONGCLAMP KNOB A829101";MCELROY
98565099;T707-00;ABREPUERTA ELECTRICO C/ DESBLOQUEO MOD: T707-00    (CINCADO);JAQUE
90020130;T730-00;ABREPUERTA ELECTRICO PARA ANTIPANICO, COLOR NEGRO;JAQUE
75027436;;ABROCHADORA KARTEC 50 PINZA;
79910079;P6C-8;ABROCHADORA MOD P6C-8;BOSTITCH
80013575;L071CB00;ABSORBEDOR ASAP SORBER AXESS (RESCUE 250 KG);PETZL
80013533;L071AA01;ABSORBEDOR DE ENERGIA 40CM;PETZL
90022431;85700-00;ABSORBEDOR DE ENERGIA CONSTANT FORCE 18KN;MSA
70104221;35416-00;ABSORBEDOR DE ENERGIA CONSTANT FORCE 6KN           (6 KN USER COIL ABSORB);MSA
47819109;85535-00;ABSORBEDOR DE ENERGIA DE MUELLE AMARILLO           (VERTICAL COIL ABSORB);MSA
47819112;85536-00;ABSORBEDOR DE ENERGIA DE MUELLE GRIS;MSA
34400117;24522;ABSORBEDOR DE ENERGIA OVERHEAD 8MM AISI 316;SPERIAN
90015827;24358;ABSORBEDOR DE ENERGIA STANDARD DIAM. 8MM           (ACERO INOX. AISI 316);XENON
87444135;85540-00;ABSORBEDOR H-XTENDA;MSA
70104219;20050-00;ABSORBEDOR H-XTENDA THREADED   (SUPER 12)          H-XTENDA CON ROSCA;MSA
98565077;AB01-04 -02 -02;"ABSORBENTE MINERAL DIATOM 21 ""C""  GRANULADO GRUESO (PRECIO BOLSA DE 20 KG)";DIATOM
98565078;AB01-02 -01 -02;"ABSORBENTE MINERAL DIATOM 21 ""G""  GRANULADO FINO   (PRECIO BOLSA DE 10 KG)";DIATOM
98564963;AB01-02 -02 -02;"ABSORBENTE MINERAL DIATOM 21 ""G"" (GRANULADO FINO)  - PRECIO X KG - PRESENTACION: BOLSA X 20 KG";DIATOM
98565079;AB01-03 -01 -02;"ABSORBENTE MINERAL DIATOM 21 ""M""  GRANULADO MEDIAN (PRECIO BOLSA DE 10 KG)";DIATOM
98563952;DIATOM 21;ABSORBENTE MINERAL DIATOM 21 (BOLSA DE 10 KG);DIATOM
98563951;DIATOM 21;ABSORBENTE MINERAL DIATOM 21 (BOLSA DE 20 KG);DIATOM
98563982;DIATOM 21;ABSORBENTE MINERAL DIATOM 21 (BOLSA DE 25 KG);DIATOM
75024015;;ABSORBENTE MINERAL DIATOMEA (PRECIO X KG)          - PRESENTACION: BOLSA X 25 KG;CRUNCH OIL
90015134;AIABDRYX10K;ABSORBENTE MINERAL P/DERRAMES GRANULADO            .PRECIO X BOLSA DE 10 KG, MOD. ABSORSOL DRY;
80013665;H3.210102;"ABSORBENTE NATURAL PEAT DRY BOOM 4"" X 3 MTS";SERVUS
80013646;AB25;ABSORBENTE ORGANICO BARRERA NATURAL-SORB 8cm x 2,4;
14430648;L014BA01;ABSORBICA Y 150 CM + 2 MGO 60MM C/MOSQ Bm 'D;PETZL
75027024;L014BB01;ABSORBICA Y 150 CM + MGO + BM D TRIACT-LOCK        (INTERNACIONAL);PETZL
75027403;L014CB01;ABSORBICA Y 150 CM MGO + OK TRIACT-LOCK            (EUROPEA);PETZL
75026068;L014CA01;ABSORBICA Y 150CM + 2 MGO 60MM (CON MOSQ. TRIACT L;PETZL
75027045;L014BB01;ABSORBICA Y 150CM +2 MGO 60MM (CON MOSQUETON Bm´D);PETZL
90025555;L012BB00;ABSORBICA Y 80 CM + 2 MGO 60MM                     (CON MOSQUETON Bm'D);PETZL
75025656;L012CA00;ABSORBICA Y 80 CM +2 MGO (VERSION EUROPEA);PETZL
90023641;L012BA00;ABSORBICA Y 80CM + 2MGO 60 MM (CON MOESQUETON BMD);PETZA
14430506;L59 MGO;ABSORBICA-Y C/2 MGO;PETZL
95636511;;ABSORVEDOR DE HUMEDAD X 285 GR;SAPHIRUS
95636512;;ABSORVEDOR DE HUMEDAD X 385 GR;SAPHIRUS
19885461;[PWS-CBL-AC-INT-150-AR;AC LINE CORD 150 CM;
77777768;;ACAROINA X 4 LITROS;
40791601;1 618 600 006;ACC.P/MART.DEML.PORTA HERR.P/PLACA PISON 390MM;
51507531;8160-5;"ACCES.P/BOCALL E.1/2"" BARRA EXTENSION 125MM  753";BAHCO
51507731;8166;"ACCES.P/BOCALL ENC.1/2"" JUNTA UNIVERSAL 773";BAHCO
75017904;65403;ACCESORIO BRAZO METALICO LARGO P/BLOQUEO DE VALVUL A UNIVERSAL-BRADY;BRADY
75025409;65403;ACCESORIO BRAZO METALICO LARGO PARA                BLOQUEADOR UNIVERSAL DE VALVULAS;BRADY
