Código;Código alternativo;Nombre;Marca
74971762;ST01673;LA GOTITA GEL X 3 GRS;LA GOTITA
60011081;;LA MASA;
71223210;321 R;LACA EN SPRAY X 340 GRS. MOLYCOTE 321 R;MOLYKOTE
90024585;65342;LADDER ANCHOR 6100566,TAG SS                       (CUERDA DE LLAMADO);3M
91553254;65340;LADDER ANCHOR,6'E 6100565;3M
75027493;P-6424-5428S;LADDER BRACKET BASE;
56931436;CGIH26-3;LAMA DE CORTE CGIH26-3 MM (ALT-25 MM);VERTEX
56931394;CGIH32-3;LAMA DE CORTE CGIH32-3 MM (ALT-32 MM);VERTEX
70104591;HV26-6-16;LAMA Y BLOQUE PORTA LAMA 16MM                      + 10 INSERTOS  SP300 HV26-6-16;
70043278;55988;"LAMINA DE SEGURIDAD TRANSPARENTE ULTRA S400        ,PARA CRISTALES ROLLO (1.52 x 30.5 MTS) 60""X100 FT";3M
94512304;PIN1014;LAMINA P/MASILLAR DE 10 x 14 CM;PINAS
57811788;;LAMINA PARA JUNTA DE 1500 X  1500 MM X   0.4 MM;
57811789;;LAMINA PARA JUNTA DE 1500 X  1500 MM X   0.8 MM;
57811787;;LAMINA PARA JUNTA DE 1500 X  1500 MM X   1.5 MM;
57811786;;LAMINA PARA JUNTA DE 1500 X  1500 MM X   2 MM;
90017602;PIN810;LAMINA PARA MASILLAR 8X10 CMS;PINAS
37163031;R6030/3;LAMINA PROTECTORA DE VISOR PARA CAPUCHON ARENADOR;FRAVIDA
90019658;45914;LAMINA REFLECTIVA GRADO INGENIERIA AMARILLO LIMON  FLUO ROLLO DE 0.91X45.72MTS 4083 DG3;3M
70043286;62308;LAMINA S800 ULTRA SAFETY  1.52 MTS x 30.5 MTS;3M
79906133;;LAMINAS TESNIT/GASKELIT BA-202-1500x1500x1.5MM;
24040101;;LAMPARA  LDA-N/5F-LAMP.S.DIG.;TELME
90019138;;LAMPARA 24V 70 W H3 PK22S HALOGENA;PHILLIPS
32250022;T-2DC;LAMPARA ANTIEXP.LINTER.PLAS RECTA,2PILAS ANTIDEFLA;WOLF
32250031;T-3DC;LAMPARA ANTIEXP.LINTER.PLAS.RECTA,3PILAS ANTIDEFLA;WOLF
90022777;SICAL0000000150;LAMPARA AR111 7LED 13,5 W GU10 LD  (911583 );SICA
75012227;;LAMPARA BAJO CONSUMO  11W;
27014312;;LAMPARA BAJO CONSUMO 25W.;
75008991;;LAMPARA BAJO VOLTAJE 24V 40W E27 STD CLARA;GENERAL EL
70103869;SICAL0000000163;LAMPARA CLASIC LED 15W E27 LD;SICA
99992554;RT203N;LAMPARA CON LUPA EXTENSIBLE + FOCO LED;KETHOR
90006416;3266002;LAMPARA DE 12VOLT. 60WATS;OSRAM
80014135;MK2112-21;LAMPARA DE BOLSILLO LED MODELO MK2112-21;MILWAUKEE
99887137;;LAMPARA DE DIAGNOSTICO;
